Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK89239.2,Atu4200,no name,hypothetical protein,AE007870.2,complement(1322941-1323429)
AAK89238.1,Atu4201,no name,"flavodoxin, WrbA-like protein",AE007870.2,1323428-1324009
AAK89237.1,Atu4202,no name,methyltransferase,AE007870.2,complement(1324449-1325150)
AAK89236.1,Atu4203,no name,conserved hypothetical protein,AE007870.2,complement(1325168-1325878)
AAK89235.2,Atu4204,no name,"transcriptional regulator, AraC family",AE007870.2,complement(1325969-1326709)
AAK89234.2,Atu4205,tetR,"transcriptional regulator, TetR family",AE007870.2,complement(1327589-1328236)
AAK89233.1,Atu4206,tetA,tetracycline resistance protein,AE007870.2,1328325-1329509
AAK89232.2,Atu4207,no name,"transcriptional regulator, ROK family",AE007870.2,complement(1329649-1330797)
AAK89231.1,Atu4208,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,1330887-1332260
AAK89230.2,Atu4209,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,1332328-1333239
AAK89229.2,Atu4210,no name,"ABC transporter, membrane spanning protein (sugars)",AE007870.2,1333239-1334297
AAK89228.1,Atu4211,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007870.2,1334303-1335415
AAK89227.1,Atu4212,ugpQ,glycerophosphodiester phosphodiesterase,AE007870.2,1335428-1336174
AAK89226.2,Atu4213,no name,hypothetical protein,AE007870.2,complement(1336285-1336665)
AAK89225.1,Atu4214,cspA,cold shock protein,AE007870.2,complement(1336799-1337029)
AAK89224.1,Atu4215,ftsZ,cell division protein,AE007870.2,complement(1337330-1337776)
AAK89223.2,Atu4216,fabF,3-oxoacyl-(acyl-carrier-protein) synthase II,AE007870.2,complement(1337832-1339130)
AAK89222.2,Atu4217,no name,"transcriptional regulator, TetR family",AE007870.2,complement(1339277-1339864)
AAK89221.2,Atu4218,no name,multidrug efflux protein,AE007870.2,1339962-1341071
AAK89220.1,Atu4219,no name,cation efflux system protein,AE007870.2,1341071-1344181
AAK89219.1,Atu4220,no name,short-chain dehydrogenase,AE007870.2,1344211-1345086
AAK89218.1,Atu4221,no name,conserved hypothetical protein,AE007870.2,complement(1345110-1345658)
AAK89217.1,Atu4222,soxA,sarcosine oxidase alpha subunit,AE007870.2,complement(1345651-1348614)
AAK89216.1,Atu4223,soxD,sarcosine oxidase delta subunit,AE007870.2,complement(1348611-1348886)
AAK89215.1,Atu4224,soxB,sarcosine oxidase beta subunit,AE007870.2,complement(1348911-1350161)
AAK89214.1,Atu4225,glxA,"transcriptional regulator, AraC family",AE007870.2,1350252-1351226
AAK89213.2,Atu4226,no name,transcriptional regulator,AE007870.2,1351314-1351940
AAK89212.1,Atu4227,purF,amidophosphoribosyltransferase,AE007870.2,1352037-1352942
AAK89211.1,Atu4228,fwdC,formyl-methanofuran dehydrogenase,AE007870.2,1352980-1353666
AAK89210.1,Atu4229,gltB,glutamate synthase large subunit,AE007870.2,1353683-1355011
AAK89209.1,Atu4230,glnA,glutamine synthetase III,AE007870.2,1355097-1356404
AAK89208.2,Atu4231,purU,formyltetrahydrofolate deformylase,AE007870.2,1356493-1357377
AAK89207.2,Atu4232,no name,"transcriptional regulator, GntR family",AE007870.2,1357532-1358227
AAK89206.2,Atu4233,no name,"ABC transporter, substrate binding protein (amino acid)",AE007870.2,1358411-1359271
AAK89205.2,Atu4234,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007870.2,1359445-1360038
AAK89204.2,Atu4235,no name,"ABC transporter, nucleotide binding/ATPase protein (amino acid)",AE007870.2,1360068-1360799
AAK89203.1,Atu4236,no name,dehydrogenase,AE007870.2,1360880-1362058
AAK89202.1,Atu4237,no name,conserved hypothetical protein,AE007870.2,1362176-1362778
AAK89201.2,Atu4238,no name,hydrolase,AE007870.2,1362790-1363635
AAK89200.1,Atu4239,no name,flavoprotein oxidoreductase,AE007870.2,1363632-1364570
AAK89199.1,Atu4240,no name,alkanal monooxygenase alpha chain,AE007870.2,1364567-1365607
AAK89198.2,Atu4241,dhaS,aldehyde dehydrogenase,AE007870.2,1365612-1367078
AAK89197.1,Atu4242,no name,conserved hypothetical protein,AE007870.2,1367083-1367397
AAK89196.1,Atu4243,no name,"ABC transporter, substrate binding protein (polyamine)",AE007870.2,1367454-1368464
AAK89195.2,Atu4244,no name,"ABC transporter, membrane spanning protein (polyamine)",AE007870.2,1368524-1369399
AAK89194.1,Atu4245,no name,"ABC transporter, membrane spanning protein (polyamine)",AE007870.2,1369401-1370201
AAK89193.1,Atu4246,no name,"ABC transporter, nucleotide binding/ATPase protein (polyamine)",AE007870.2,1370198-1371280
AAK89192.1,Atu4247,attK,aldehyde dehydrogenase,AE007870.2,1371293-1372747
AAK89191.2,Atu4248,no name,hypothetical protein,AE007870.2,complement(1372755-1373036)
AAK89190.1,Atu4249,no name,"ABC transporter, nucleotide binding/ATPase protein (sugars)",AE007870.2,complement(1373286-1374329)
AAK89189.1,Atu4250,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(1374344-1375186)
AAK89188.2,Atu4251,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(1375176-1376102)
AAK89187.1,Atu4252,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,complement(1376158-1377417)
AAK89186.2,Atu4253,no name,conserved hypothetical protein,AE007870.2,complement(1377447-1379057)
AAK89185.1,Atu4254,no name,"transcriptional regulator, LacI family",AE007870.2,complement(1379059-1380117)
AAK89184.2,Atu4255,atsA,conserved hypothetical protein,AE007870.2,1380352-1380876
AAK89183.2,Atu4256,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,complement(1381036-1382571)
AAK89182.2,Atu4257,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,complement(1382645-1383661)
AAK89181.1,Atu4258,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,complement(1383768-1384691)
AAK89180.2,Atu4259,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,complement(1384746-1386341)
AAK89179.2,Atu4260,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(1386627-1387403)
AAK89178.1,Atu4261,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(1387390-1388211)
AAK89177.2,Atu4262,no name,"ABC transporter, substrate binding protein",AE007870.2,complement(1388221-1389150)
AAK89176.1,Atu4263,no name,conserved hypothetical protein,AE007870.2,complement(1389268-1390365)
AAK89175.1,Atu4264,no name,"transcriptional regulator, LysR family",AE007870.2,1390459-1391355
AAK89174.1,Atu4265,no name,hypothetical protein,AE007870.2,complement(1391447-1392061)
AAK89173.1,Atu4266,no name,"transcriptional regulator, GntR family",AE007870.2,complement(1392096-1393442)
AAK89172.1,Atu4267,no name,conserved hypothetical protein,AE007870.2,1393578-1393982
AAK89171.2,Atu4268,no name,RhtB family transporter,AE007870.2,1394014-1394643
AAK89170.2,Atu4269,phzC,phenazine biosynthesis protein,AE007870.2,1394700-1395545
AAK89169.2,Atu4270,no name,conserved hypothetical protein,AE007870.2,1395572-1396168
AAK89168.1,Atu4271,no name,"transcriptional regulator, LysR family",AE007870.2,complement(1396284-1397171)
AAK89167.2,Atu8039,no name,conserved hypothetical protein,AE007870.2,1397284-1397649
AAK89166.1,Atu4272,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,AE007870.2,1397935-1398378
AAK89165.1,Atu4273,accC,"acetyl-CoA carboxylase, biotin carboxylase",AE007870.2,1398375-1399769
AAK89164.2,Atu4274,no name,hypothetical protein,AE007870.2,1399766-1400194
AAK89163.1,Atu4275,no name,conserved hypothetical protein,AE007870.2,1400191-1400898
AAK89162.1,Atu4276,no name,conserved hypothetical protein,AE007870.2,1400895-1401890
AAK89161.2,Atu4277,no name,conserved hypothetical protein,AE007870.2,1401921-1402688
AAK89160.2,Atu4278,aatA,aspartate aminotransferase A,AE007870.2,1402734-1403939
AAK89159.2,Atu4279,nac,"transcriptional regulator, LysR family",AE007870.2,complement(1403998-1404903)
AAK89158.1,Atu4280,no name,short-chain dehydrogenase,AE007870.2,1405144-1405923
AAK89157.1,Atu4281,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007870.2,1405920-1406627
AAK89156.1,Atu4282,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007870.2,1406624-1407382
AAK89155.1,Atu4283,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,1407379-1408143
AAK89154.1,Atu4284,no name,"ABC transporter, substrate binding protein (amino acid)",AE007870.2,1408174-1409010
AAK89153.2,Atu4285,menG,S-adenosylmethionine:2-demethylmenaquinone methyltransferase,AE007870.2,1409104-1409778
AAK89152.2,Atu4286,no name,conserved hypothetical protein,AE007870.2,complement(1409923-1410762)
AAK89151.1,Atu4287,no name,NonF-related protein,AE007870.2,complement(1410846-1411538)
AAK89150.2,Atu4288,no name,"transcriptional regulator, LysR family",AE007870.2,1411727-1412626
AAK89149.1,Atu4289,adhC,alcohol dehydrogenase,AE007870.2,complement(1412652-1413590)
AAL45084.1,Atu4290,no name,hypothetical protein,AE007870.2,1413630-1413830
AAK89148.2,Atu4291,no name,"transcriptional regulator, LysR family",AE007870.2,complement(1413855-1414763)
AAK89147.2,Atu4292,no name,chloramphenicol resistance protein,AE007870.2,1414920-1416101
AAK89146.2,Atu4293,no name,monooxygenase,AE007870.2,1416166-1417191
AAK89145.1,Atu4294,yafB,oxidoreductase,AE007870.2,1417206-1418039
AAK89144.2,Atu4295,aroE,shikimate 5-dehydrogenase,AE007870.2,complement(1418147-1418995)
AAK89143.1,Atu4296,no name,dehydrogenase,AE007870.2,complement(1418985-1420568)
AAK89142.2,Atu4297,no name,"transcriptional regulator, AraC family",AE007870.2,1420708-1421601
AAK89141.1,Atu4298,no name,conserved hypothetical protein,AE007870.2,complement(1421591-1423609)
AAK89140.2,Atu4299,no name,conserved hypothetical protein,AE007870.2,1423945-1424484
AAK89139.2,Atu4300,nwsB,two component response regulator,AE007870.2,1424686-1425321
AAK89138.2,Atu4301,no name,conserved hypothetical protein,AE007870.2,1425633-1426391
AAK89137.1,Atu4302,no name,conserved hypothetical protein,AE007870.2,1426469-1426882
AAK89136.1,Atu4303,no name,conserved hypothetical protein,AE007870.2,1427019-1427450
AAK89135.1,Atu4304,no name,conserved hypothetical protein,AE007870.2,1427475-1428965
AAK89134.1,Atu4305,no name,two component sensor kinase,AE007870.2,1429208-1431850
AAK89133.2,Atu4306,no name,two component response regulator,AE007870.2,1431872-1432231
AAK89132.2,Atu4307,no name,conserved hypothetical protein,AE007870.2,1432576-1433544
AAK89131.2,Atu4308,no name,conserved hypothetical protein,AE007870.2,1433832-1434647
AAK89130.2,Atu4309,no name,"transcriptional regulator, AraC family",AE007870.2,complement(1434893-1435924)
AAK89129.1,Atu4310,soxB,sarcosine oxidase beta subunit,AE007870.2,1436024-1437277
AAK89128.1,Atu4311,soxD,sarcosine oxidase delta subunit,AE007870.2,1437344-1437664
AAK89127.1,Atu4312,soxA,sarcosine oxidase alpha subunit,AE007870.2,1437661-1440651
AAK89126.1,Atu4313,soxG,sarcosine oxidase gamma subunit,AE007870.2,1440658-1441218
AAK89125.1,Atu4314,glyA,serine hydroxymethyltransferase,AE007870.2,1441237-1442505
AAK89124.2,Atu4315,purU,formyltetrahydrofolate deformylase,AE007870.2,1442632-1443516
AAK89123.1,Atu4316,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(1443591-1444820)
AAK89122.2,Atu4317,no name,"transcriptional regulator, TetR family",AE007870.2,1444964-1445536
AAK89121.1,Atu4318,no name,xylitol dehydrogenase,AE007870.2,1445784-1446836
AAK89120.2,Atu4319,no name,"transcriptional regulator, AraC family",AE007870.2,1447208-1448092
AAK89119.1,Atu4320,rbsB,"ABC transporter, substrate binding protein (ribose)",AE007870.2,1448190-1449101
AAK89118.2,Atu4321,rbsA,"ABC transporter, nucleotide binding/ATPase protein (ribose)",AE007870.2,1449173-1450675
AAK89117.2,Atu4322,rbsC,"ABC transporter, membrane spanning protein (ribose)",AE007870.2,1450665-1451642
AAK89116.1,Atu4323,rdh,ribitol 2-dehydrogenase,AE007870.2,1451682-1452413
AAK89115.1,Atu4324,no name,ribitol kinase,AE007870.2,1452503-1454113
AAK89114.2,Atu4325,cbr,carbonyl reductase,AE007870.2,1454163-1454888
AAK89113.2,Atu4326,no name,MFS permease (proline/betaine),AE007870.2,complement(1454974-1456467)
AAK89112.2,Atu4327,no name,hypothetical protein,AE007870.2,1456654-1457076
AAL45122.1,Atu4328,no name,hypothetical protein,AE007870.2,complement(1457193-1457393)
AAK89111.1,Atu4329,bexD,polysaccharide export protein,AE007870.2,1457455-1458357
AAK89110.2,Atu4330,impN,serine/threonine protein kinase,AE007870.2,complement(1458366-1459178)
AAK89109.2,Atu4331,impM,serine/threonine phosphoprotein phosphatase,AE007870.2,complement(1459258-1460673)
AAK89108.1,Atu4332,impL,IcmF family protein,AE007870.2,complement(1460756-1464235)
AAK89107.2,Atu4333,impK,OmpA-like porin,AE007870.2,complement(1464232-1465737)
AAK89106.1,Atu4334,impJ,conserved hypothetical protein,AE007870.2,complement(1465734-1467074)
AAK89105.1,Atu4335,impI,putative forkhead-type phosphopeptide-binding protein,AE007870.2,complement(1467064-1468263)
AAK89104.1,Atu4336,impH,conserved hypothetical protein,AE007870.2,complement(1468274-1469278)
AAK89103.1,Atu4337,impG,conserved hypothetical protein,AE007870.2,complement(1469288-1471069)
AAK89102.2,Atu4338,impF,conserved hypothetical protein,AE007870.2,complement(1471062-1471571)
AAK89101.1,Atu4339,impE,hypothetical protein,AE007870.2,complement(1471564-1472388)
AAK89100.2,Atu4340,impD,conserved hypothetical protein,AE007870.2,complement(1472385-1473779)
AAK89099.1,Atu4341,impC,conserved hypothetical protein,AE007870.2,complement(1473834-1475315)
AAK89098.2,Atu4342,impB,conserved hypothetical protein,AE007870.2,complement(1475409-1475918)
AAK89097.1,Atu4343,impA,conserved hypothetical protein,AE007870.2,complement(1475984-1477039)
AAK89096.2,Atu4344,clpB,"ATP-dependent Clp protease, ATP-binding subunit",AE007870.2,1477260-1479938
AAK89095.1,Atu4345,no name,conserved hypothetical protein,AE007870.2,1479996-1480472
AAK89094.2,Atu4346,no name,conserved hypothetical protein,AE007870.2,1480579-1480968
AAK89093.2,Atu4347,no name,hypothetical protein,AE007870.2,1480980-1481480
AAK89092.1,Atu4348,vgrG,VgrG protein,AE007870.2,1481495-1483945
AAK89091.2,Atu4349,no name,conserved hypothetical protein,AE007870.2,1483948-1484904
AAK89090.1,Atu4350,no name,hypothetical protein,AE007870.2,1484901-1485737
AAK89089.1,Atu4351,no name,hypothetical protein,AE007870.2,1485765-1486439
AAK89088.1,Atu4352,no name,hypothetical protein,AE007870.2,1486452-1486757
AAK89087.2,Atu4353,no name,conserved hypothetical protein,AE007870.2,complement(1486896-1488734)
AAK89086.2,Atu4354,no name,hypothetical protein,AE007870.2,1489103-1490773
AAK89085.1,Atu4355,no name,conserved hypothetical protein,AE007870.2,complement(1490777-1492333)
AAK89084.1,Atu4356,no name,conserved hypothetical protein,AE007870.2,complement(1492710-1493726)
AAK89083.1,Atu4357,no name,conserved hypothetical protein,AE007870.2,1493959-1494624
AAK89082.1,Atu4358,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(1494699-1495784)
AAK89081.1,Atu4359,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(1495781-1496608)
AAK89080.1,Atu4360,thuF,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(1496605-1497507)
AAK89079.1,Atu4361,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,complement(1497621-1498853)
AAK89078.1,Atu4362,no name,conserved hypothetical protein,AE007870.2,complement(1498917-1499819)
AAK89077.2,Atu4363,no name,conserved hypothetical protein,AE007870.2,complement(1499832-1500866)
AAK89076.1,Atu4364,thuR,"transcriptional regulator, LacI family",AE007870.2,1501005-1502069
AAK89075.2,Atu4365,no name,hypothetical protein,AE007870.2,complement(1502059-1502934)
AAK89074.2,Atu4366,sdhX,dehydrogenase/reductase,AE007870.2,complement(1503110-1503883)
AAK89073.2,Atu4367,gstR,"transcriptional regulator, LysR family",AE007870.2,1504020-1504919
AAK89072.2,Atu4368,no name,conserved hypothetical protein,AE007870.2,complement(1504990-1505385)
AAK89071.1,Atu4369,rbsB,"ABC transporter, substrate binding protein (sugar)",AE007870.2,1505684-1506706
AAK89070.2,Atu4370,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007870.2,1506810-1508303
AAK89069.1,Atu4371,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,1508300-1509244
AAK89068.1,Atu4372,rbsC,"ABC transporter, membrane spanning protein (ribose)",AE007870.2,1509246-1510214
AAK89067.1,Atu4373,cytR,"transcriptional repressor, LacI family",AE007870.2,1510218-1511240
AAK89066.1,Atu4374,no name,conserved hypothetical protein,AE007870.2,1511274-1512323
AAK89065.2,Atu4375,no name,conserved hypothetical protein,AE007870.2,1512335-1513504
AAK89064.2,Atu4376,no name,conserved hypothetical protein,AE007870.2,1513657-1514481
AAK89063.1,Atu4377,no name,oxidoreductase,AE007870.2,1514633-1516318
AAK89062.2,Atu4378,no name,conserved hypothetical protein,AE007870.2,1516318-1516878
AAK89061.2,Atu4379,cy2,cytochrome c2,AE007870.2,1516948-1517343
AAK89060.2,Atu4380,nnrR,"transcriptional regulatory, Crp family",AE007870.2,complement(1517414-1518115)
AAK89059.2,Atu4381,nirV,"nitrite reductase, NirV precursor",AE007870.2,complement(1518265-1519182)
AAK89058.2,Atu4382,nirK,"nitrite reductase, copper-containing",AE007870.2,complement(1519291-1520433)
AAK89057.2,Atu4383,no name,conserved hypothetical protein,AE007870.2,1520670-1521902
AAK89056.1,Atu4384,no name,conserved hypothetical protein,AE007870.2,complement(1521986-1522519)
AAK89055.1,Atu4385,no name,conserved hypothetical protein,AE007870.2,complement(1522598-1523047)
AAK89054.1,Atu4386,norD,nitric oxide reductase NorD protein,AE007870.2,complement(1523047-1524945)
AAK89053.2,Atu4387,norQ,nitric oxide reductase NorQ protein,AE007870.2,complement(1525017-1525829)
AAK89052.1,Atu4388,norB,"nitric oxide reductase, cytochrome b subunit",AE007870.2,complement(1525894-1527240)
AAK89051.2,Atu4389,norC,"nitric oxide reductase, cytochrome c-containing subunit",AE007870.2,complement(1527265-1527717)
AAK89050.1,Atu8197,norF,NorF protein,AE007870.2,complement(1527884-1528183)
AAK89049.2,Atu4391,norE,nitric oxide reductase NorE protein,AE007870.2,complement(1528180-1528713)
AAK89048.1,Atu8040,no name,conserved hypothetical protein,AE007870.2,1528839-1529006
AAK89047.1,Atu4392,nnrU,denitrification regulatory protein,AE007870.2,1529019-1529696
AAK89046.1,Atu4393,no name,3-polyprenyl-4-hydroxybenzoate decarboxylase,AE007870.2,complement(1529701-1530291)
AAK89045.2,Atu4394,no name,conserved hypothetical protein,AE007870.2,complement(1530288-1531844)
AAK89044.2,Atu4395,no name,conserved hypothetical protein,AE007870.2,complement(1531871-1532221)
AAK89043.1,Atu4396,no name,conserved hypothetical protein,AE007870.2,1532371-1532886
AAK89042.1,Atu4397,no name,protease,AE007870.2,1532877-1533854
AAK89041.2,Atu4398,no name,conserved hypothetical protein,AE007870.2,1533860-1534798
AAK89040.1,Atu4399,no name,conserved hypothetical protein,AE007870.2,1534795-1535172
AAK89039.1,Atu4400,no name,ferrienterobactin-like protein,AE007870.2,1535270-1537423
AAK89038.1,Atu4401,no name,conserved hypothetical protein,AE007870.2,1537442-1538425
AAK89037.1,Atu4402,no name,"ABC transporter, membrane spanning protein (anion)",AE007870.2,1538431-1539240
AAK89036.2,Atu4403,no name,"ABC transporter, nucleotide binding/ATPase protein (anion)",AE007870.2,1539237-1539989
AAK89035.1,Atu4404,no name,conserved hypothetical protein,AE007870.2,1539986-1541173
AAK89034.1,Atu4405,napE,periplasmic nitrate reductase protein NapE,AE007870.2,1541384-1541569
AAK89033.1,Atu4406,napF,"periplasmic nitrate reductase, ferredoxin-like protein",AE007870.2,1541577-1542077
AAK89032.1,Atu4407,napD,"periplasmic nitrate reductase, NapD protein",AE007870.2,1542070-1542357
AAK89031.1,Atu4408,napA,periplasmic nitrate reductase large subunit,AE007870.2,1542332-1544836
AAK89030.1,Atu4409,napB,periplasmic nitrate reductase small subunit,AE007870.2,1544806-1545297
AAK89029.1,Atu4410,napC,"periplasmic nitrate reductase, cytochrome c-type protein",AE007870.2,1545294-1545995
AAK89028.2,Atu4411,no name,"transcriptional regulator, LysR family",AE007870.2,complement(1546039-1546902)
AAK89027.2,Atu4412,rzcA,rhizobiocin/RTX toxin,AE007870.2,1547273-1553086
AAK89026.2,Atu4413,rspD,"ABC transporter, nucleotide binding/ATPase protein (bacteriocin)",AE007870.2,1553197-1554948
AAK89025.2,Atu4414,rspE,"ABC transporter, membrane spanning protein (bacteriocin)",AE007870.2,1554951-1556255
AAK89024.2,Atu4415,no name,conserved hypothetical protein,AE007870.2,complement(1556572-1558485)
AAK89023.1,Atu4416,no name,phosphopantetheinyl transferase,AE007870.2,complement(1558615-1559331)
AAK89022.1,Atu4418,gcdH,glutaryl-CoA dehydrogenase,AE007870.2,complement(1559543-1560730)
AAK89021.1,Atu4419,no name,"transcriptional regulator, LysR family",AE007870.2,1560827-1561747
AAK89020.2,Atu4420,no name,"transcriptional regulator, LacI family",AE007870.2,1561882-1562943
AAK89019.1,Atu4421,no name,"ABC transporter, substrate binding protein (spermidine/putrescine)",AE007870.2,1562940-1563962
AAK89018.2,Atu4422,no name,"ABC transporter, membrane spanning protein (spermidine/putrescine)",AE007870.2,1564129-1564956
AAK89017.1,Atu4423,no name,"ABC transporter, membrane spanning protein",AE007870.2,1564953-1565732
AAK89016.1,Atu4424,no name,"ABC transporter, nucleotide binding/ATPase protein (spermidine/putrescine)",AE007870.2,1565725-1566750
AAK89015.1,Atu4425,iunH,inosine-uridine preferring nucleoside hydrolase,AE007870.2,1566753-1567673
AAK89014.1,Atu4426,adeC,adenine deaminase,AE007870.2,1567670-1569463
AAK89013.2,Atu4427,no name,replicative DNA helicase,AE007870.2,complement(1569515-1570216)
AAK89012.2,Atu4428,no name,amidohydrolase,AE007870.2,complement(1570433-1571644)
AAK89011.1,Atu4429,no name,phosphoribosyltransferase,AE007870.2,1571818-1572525
AAK89010.2,Atu4430,no name,dipeptidase,AE007870.2,1572731-1573786
AAK89009.1,Atu4431,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,1573837-1575474
AAK89008.1,Atu4432,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,1575496-1576563
AAK89007.1,Atu4433,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,1576560-1577492
AAK89006.1,Atu4434,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,1577489-1578325
AAK89005.2,Atu4435,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,1578322-1579071
AAK89004.2,Atu4436,tnp,IS5 family transposase,AE007870.2,1579171-1580208
AAK89003.2,Atu4437,no name,"transcriptional regulator, LysR family",AE007870.2,1580559-1581461
AAK89002.2,Atu4438,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,1581671-1583206
AAK89001.1,Atu4439,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,1583401-1584351
AAK89000.2,Atu4440,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,1584351-1585169
AAK88999.1,Atu4441,gatA,glutamyl-tRNA amidotransferase subunit A,AE007870.2,1585223-1586620
AAK88998.2,Atu4442,no name,conserved hypothetical protein,AE007870.2,1586735-1587283
AAK88997.2,Atu4443,no name,conserved hypothetical protein,AE007870.2,1587355-1587705
AAK88996.1,Atu4444,no name,hippurate hydrolase,AE007870.2,1587919-1589043
AAK88995.1,Atu4445,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,1589092-1590942
AAK88994.1,Atu4446,no name,conserved hypothetical protein,AE007870.2,1591236-1592189
AAK88993.2,Atu4447,no name,"ABC transporter, substrate binding protein (sorbitol)",AE007870.2,1592333-1593646
AAK88992.2,Atu4448,no name,"ABC transporter, membrane spanning protein (sorbitol/mannitol)",AE007870.2,1593675-1594691
AAK88991.1,Atu4449,no name,"ABC transporter, membrane spanning protein (sorbitol/mannitol)",AE007870.2,1594704-1595528
AAK88990.1,Atu4450,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007870.2,1595541-1596539
AAK88989.2,Atu4451,mtlK,mannitol 2-dehydrogenase,AE007870.2,1596665-1598149
AAK88988.1,Atu4452,no name,conserved hypothetical protein,AE007870.2,1598156-1598875
AAK88987.1,Atu4453,no name,ribitol kinase,AE007870.2,1598930-1600507
AAK88986.2,Atu4454,no name,"transcriptional regulator, RpiR family",AE007870.2,complement(1600612-1601409)
AAK88985.1,Atu4456,no name,conserved hypothetical protein,AE007870.2,1601741-1602478
AAK88984.1,Atu4457,no name,endonuclease III,AE007870.2,complement(1602440-1603222)
AAK88983.1,Atu4458,no name,conserved hypothetical protein,AE007870.2,1603260-1603742
AAK88982.1,Atu4459,ada,6-O-methylguanine-DNA methyltransferase,AE007870.2,1604009-1604881
AAK88981.1,Atu4460,no name,conserved hypothetical protein,AE007870.2,1604934-1605170
AAK88980.1,Atu4461,no name,conserved hypothetical protein,AE007870.2,1605176-1605463
AAK88979.1,Atu4462,no name,transcriptional regulator,AE007870.2,complement(1605460-1606491)
AAK88978.1,Atu4464,talB,transaldolase,AE007870.2,1606687-1607652
AAK88977.1,Atu4465,kdgR,transcriptional regulator,AE007870.2,complement(1607759-1608526)
AAK88976.2,Atu4466,no name,oxidoreductase,AE007870.2,1608724-1609455
AAK88975.2,Atu4467,no name,conserved hypothetical protein,AE007870.2,complement(1609511-1609684)
AAK88974.1,Atu4468,sitD,"ABC transporter, membrane spanning protein (iron transport)",AE007870.2,complement(1609891-1610745)
AAK88973.2,Atu4469,sitC,"ABC transporter, membrane spanning protein (iron)",AE007870.2,complement(1610742-1611602)
AAK88972.2,Atu4470,sitB,"ABC transporter, nucleotide binding/ATPase protein (iron)",AE007870.2,complement(1611583-1612485)
AAK88971.2,Atu4471,sitA,"ABC transporter, substrate binding protein (iron)",AE007870.2,complement(1612488-1613387)
AAK88970.2,Atu4472,no name,hypothetical protein,AE007870.2,1613672-1614580
AAK88969.1,Atu4473,lysS,lysyl-tRNA synthetase,AE007870.2,complement(1614827-1616326)
AAK88968.2,Atu4474,gltX,glutamyl-tRNA synthetase,AE007870.2,complement(1616576-1618033)
AAK88967.1,Atu4475,no name,transporter,AE007870.2,complement(1618245-1620017)
AAK88966.2,Atu4476,no name,conserved hypothetical protein,AE007870.2,complement(1620256-1621017)
AAK88965.1,Atu4477,no name,"transcriptional regulator, TetR family",AE007870.2,complement(1621200-1621886)
AAK88964.1,Atu4478,emrA,multidrug resistance efflux pump,AE007870.2,1621965-1623263
AAK88963.1,Atu4479,emrB,MFS permease,AE007870.2,1623285-1624868
AAK88962.1,Atu4480,no name,conserved hypothetical protein,AE007870.2,1625108-1625755
AAK88961.1,Atu4481,no name,"transcriptional regulator, LacI family",AE007870.2,1625848-1626870
AAK88960.2,Atu4482,xylB,xylulokinase,AE007870.2,1626918-1628372
AAK88959.2,Atu4483,xylA,xylose isomerase,AE007870.2,1628616-1629926
AAL45278.2,Atu4484,no name,hypothetical protein,AE007870.2,complement(1629917-1630402)
AAK88957.2,Atu4485,bgl,beta-glucosidase,AE007870.2,1630604-1631983
AAK88956.2,Atu4486,no name,nitroreductase,AE007870.2,1632276-1632905
